airfoil,r_le,x_up_pt,z_up_pt,zxx_up_pt,x_lo_pt,z_lo_pt,zxx_lo_pt,z_te,dz_te,alpha_te,beta_te,alpha,Cl
Airfoil_0,0.0102606,0.495906,0.118417,0.132654,0.391999,-0.140705,-1.98783,0.0,0.0,-9.85697,-5.35418,0,0.7266561
Airfoil_0,0.0102606,0.495906,0.118417,0.132654,0.391999,-0.140705,-1.98783,0.0,0.0,-9.85697,-5.35418,6,0.82042409
Airfoil_0,0.0102606,0.495906,0.118417,0.132654,0.391999,-0.140705,-1.98783,0.0,0.0,-9.85697,-5.35418,12,0.96119568
Airfoil_0,0.0102606,0.495906,0.118417,0.132654,0.391999,-0.140705,-1.98783,0.0,0.0,-9.85697,-5.35418,14,0.97610994
Airfoil_0,0.0102606,0.495906,0.118417,0.132654,0.391999,-0.140705,-1.98783,0.0,0.0,-9.85697,-5.35418,16,0.94540181
Airfoil_1,0.0232693,0.390247,0.0794084,-1.04073,0.309749,-0.0272453,0.532204,0.0,0.0,-4.35649,-18.523,0,0.36634496
Airfoil_1,0.0232693,0.390247,0.0794084,-1.04073,0.309749,-0.0272453,0.532204,0.0,0.0,-4.35649,-18.523,6,1.01647904
Airfoil_1,0.0232693,0.390247,0.0794084,-1.04073,0.309749,-0.0272453,0.532204,0.0,0.0,-4.35649,-18.523,12,1.57795947
Airfoil_1,0.0232693,0.390247,0.0794084,-1.04073,0.309749,-0.0272453,0.532204,0.0,0.0,-4.35649,-18.523,14,1.69460677
Airfoil_1,0.0232693,0.390247,0.0794084,-1.04073,0.309749,-0.0272453,0.532204,0.0,0.0,-4.35649,-18.523,16,1.67898854
Airfoil_2,0.0096423,0.355763,0.10267,0.0849266,0.364985,-0.063043,-1.26355,0.0,0.0,-16.077,-15.2207,0,0.00167725
Airfoil_2,0.0096423,0.355763,0.10267,0.0849266,0.364985,-0.063043,-1.26355,0.0,0.0,-16.077,-15.2207,6,0.4223698
Airfoil_2,0.0096423,0.355763,0.10267,0.0849266,0.364985,-0.063043,-1.26355,0.0,0.0,-16.077,-15.2207,12,0.96595017
Airfoil_2,0.0096423,0.355763,0.10267,0.0849266,0.364985,-0.063043,-1.26355,0.0,0.0,-16.077,-15.2207,14,1.13944399
Airfoil_2,0.0096423,0.355763,0.10267,0.0849266,0.364985,-0.063043,-1.26355,0.0,0.0,-16.077,-15.2207,16,1.28689367
Airfoil_3,0.0157475,0.355431,0.0883852,-0.193678,0.416627,-0.049172,-0.957286,0.0,0.0,10.6287,-6.73371,0,0.00350827
Airfoil_3,0.0157475,0.355431,0.0883852,-0.193678,0.416627,-0.049172,-0.957286,0.0,0.0,10.6287,-6.73371,6,0.53311215
Airfoil_3,0.0157475,0.355431,0.0883852,-0.193678,0.416627,-0.049172,-0.957286,0.0,0.0,10.6287,-6.73371,12,0.97198013
Airfoil_3,0.0157475,0.355431,0.0883852,-0.193678,0.416627,-0.049172,-0.957286,0.0,0.0,10.6287,-6.73371,14,1.09404264
Airfoil_3,0.0157475,0.355431,0.0883852,-0.193678,0.416627,-0.049172,-0.957286,0.0,0.0,10.6287,-6.73371,16,1.20842538
Airfoil_4,0.0182358,0.331626,0.0740448,-0.984829,0.360169,-0.0617086,-0.245195,0.0,0.0,-16.7102,-2.34613,0,0.10599303
Airfoil_4,0.0182358,0.331626,0.0740448,-0.984829,0.360169,-0.0617086,-0.245195,0.0,0.0,-16.7102,-2.34613,6,0.78645199
Airfoil_4,0.0182358,0.331626,0.0740448,-0.984829,0.360169,-0.0617086,-0.245195,0.0,0.0,-16.7102,-2.34613,12,1.38450227
Airfoil_4,0.0182358,0.331626,0.0740448,-0.984829,0.360169,-0.0617086,-0.245195,0.0,0.0,-16.7102,-2.34613,14,1.52239424
Airfoil_4,0.0182358,0.331626,0.0740448,-0.984829,0.360169,-0.0617086,-0.245195,0.0,0.0,-16.7102,-2.34613,16,1.43936982
Airfoil_5,0.0244675,0.413735,0.0331786,-1.99377,0.380313,-0.13938,-1.72177,0.0,0.0,24.6344,-0.597786,0,-0.40297755
Airfoil_5,0.0244675,0.413735,0.0331786,-1.99377,0.380313,-0.13938,-1.72177,0.0,0.0,24.6344,-0.597786,6,0.72877031
Airfoil_5,0.0244675,0.413735,0.0331786,-1.99377,0.380313,-0.13938,-1.72177,0.0,0.0,24.6344,-0.597786,12,0.29797581
Airfoil_5,0.0244675,0.413735,0.0331786,-1.99377,0.380313,-0.13938,-1.72177,0.0,0.0,24.6344,-0.597786,14,0.11547097
Airfoil_5,0.0244675,0.413735,0.0331786,-1.99377,0.380313,-0.13938,-1.72177,0.0,0.0,24.6344,-0.597786,16,0.09163395
Airfoil_6,0.0128022,0.478951,0.0755856,-0.883435,0.339543,-0.0572544,-0.975422,0.0,0.0,-2.66172,-0.919676,0,-0.06112063
Airfoil_6,0.0128022,0.478951,0.0755856,-0.883435,0.339543,-0.0572544,-0.975422,0.0,0.0,-2.66172,-0.919676,6,0.48094459
Airfoil_6,0.0128022,0.478951,0.0755856,-0.883435,0.339543,-0.0572544,-0.975422,0.0,0.0,-2.66172,-0.919676,12,0.97128707
Airfoil_6,0.0128022,0.478951,0.0755856,-0.883435,0.339543,-0.0572544,-0.975422,0.0,0.0,-2.66172,-0.919676,14,0.52076904
Airfoil_6,0.0128022,0.478951,0.0755856,-0.883435,0.339543,-0.0572544,-0.975422,0.0,0.0,-2.66172,-0.919676,16,0.66680083
Airfoil_7,0.0239075,0.368231,0.0970421,0.0925162,0.328759,-0.0299022,-0.682062,0.0,0.0,-24.1976,-11.9469,0,0.4626396
Airfoil_7,0.0239075,0.368231,0.0970421,0.0925162,0.328759,-0.0299022,-0.682062,0.0,0.0,-24.1976,-11.9469,6,1.06052114
Airfoil_7,0.0239075,0.368231,0.0970421,0.0925162,0.328759,-0.0299022,-0.682062,0.0,0.0,-24.1976,-11.9469,12,1.56670235
Airfoil_7,0.0239075,0.368231,0.0970421,0.0925162,0.328759,-0.0299022,-0.682062,0.0,0.0,-24.1976,-11.9469,14,1.7117898
Airfoil_7,0.0239075,0.368231,0.0970421,0.0925162,0.328759,-0.0299022,-0.682062,0.0,0.0,-24.1976,-11.9469,16,1.84003837
Airfoil_8,0.0176902,0.544095,0.101424,-1.20758,0.356417,-0.139521,-1.84449,0.0,0.0,-22.5229,-12.9303,0,0.63350095
Airfoil_8,0.0176902,0.544095,0.101424,-1.20758,0.356417,-0.139521,-1.84449,0.0,0.0,-22.5229,-12.9303,6,0.95505594
Airfoil_8,0.0176902,0.544095,0.101424,-1.20758,0.356417,-0.139521,-1.84449,0.0,0.0,-22.5229,-12.9303,12,-0.10548229
Airfoil_8,0.0176902,0.544095,0.101424,-1.20758,0.356417,-0.139521,-1.84449,0.0,0.0,-22.5229,-12.9303,14,0.68438175
Airfoil_8,0.0176902,0.544095,0.101424,-1.20758,0.356417,-0.139521,-1.84449,0.0,0.0,-22.5229,-12.9303,16,1.07770702
Airfoil_9,0.0188152,0.400988,0.0467019,0.0842467,0.306415,-0.0244075,-0.713693,0.0,0.0,-16.8595,-3.77491,0,0.29870904
Airfoil_9,0.0188152,0.400988,0.0467019,0.0842467,0.306415,-0.0244075,-0.713693,0.0,0.0,-16.8595,-3.77491,6,0.94753398
Airfoil_9,0.0188152,0.400988,0.0467019,0.0842467,0.306415,-0.0244075,-0.713693,0.0,0.0,-16.8595,-3.77491,12,1.50519389
Airfoil_9,0.0188152,0.400988,0.0467019,0.0842467,0.306415,-0.0244075,-0.713693,0.0,0.0,-16.8595,-3.77491,14,1.66093893
Airfoil_9,0.0188152,0.400988,0.0467019,0.0842467,0.306415,-0.0244075,-0.713693,0.0,0.0,-16.8595,-3.77491,16,1.76790444
Airfoil_10,0.0207899,0.426097,0.0999585,-0.0669429,0.325966,0.0347269,-0.255789,0.0,0.0,19.4983,-4.32139,0,0.51026367
Airfoil_10,0.0207899,0.426097,0.0999585,-0.0669429,0.325966,0.0347269,-0.255789,0.0,0.0,19.4983,-4.32139,6,1.10152069
Airfoil_10,0.0207899,0.426097,0.0999585,-0.0669429,0.325966,0.0347269,-0.255789,0.0,0.0,19.4983,-4.32139,12,1.49931577
Airfoil_10,0.0207899,0.426097,0.0999585,-0.0669429,0.325966,0.0347269,-0.255789,0.0,0.0,19.4983,-4.32139,14,1.61298176
Airfoil_10,0.0207899,0.426097,0.0999585,-0.0669429,0.325966,0.0347269,-0.255789,0.0,0.0,19.4983,-4.32139,16,1.71825604
Airfoil_11,0.0137545,0.531038,0.0954295,-1.21146,0.3938,0.0572123,-1.48672,0.0,0.0,16.0331,-10.1228,0,0.34573233
Airfoil_11,0.0137545,0.531038,0.0954295,-1.21146,0.3938,0.0572123,-1.48672,0.0,0.0,16.0331,-10.1228,6,0.89212252
Airfoil_11,0.0137545,0.531038,0.0954295,-1.21146,0.3938,0.0572123,-1.48672,0.0,0.0,16.0331,-10.1228,12,1.25765093
Airfoil_11,0.0137545,0.531038,0.0954295,-1.21146,0.3938,0.0572123,-1.48672,0.0,0.0,16.0331,-10.1228,14,1.35571437
Airfoil_11,0.0137545,0.531038,0.0954295,-1.21146,0.3938,0.0572123,-1.48672,0.0,0.0,16.0331,-10.1228,16,1.43496155
Airfoil_12,0.0137089,0.325044,0.0864722,-0.924582,0.406401,-0.0734373,-1.78833,0.0,0.0,-1.96291,-13.8558,0,0.12125485
Airfoil_12,0.0137089,0.325044,0.0864722,-0.924582,0.406401,-0.0734373,-1.78833,0.0,0.0,-1.96291,-13.8558,6,0.59331873
Airfoil_12,0.0137089,0.325044,0.0864722,-0.924582,0.406401,-0.0734373,-1.78833,0.0,0.0,-1.96291,-13.8558,12,0.84895337
